id,country,country_id,continent,site_id,site_name,latitude,longitude,rural_urban,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,pf_pos,pf_pr,method,rdt_type,pcr_type,dhs_id,source_id1,source_id2,source_id3,date,survey_type
1070729,Tanzania,TZA,Africa,1070727,TZ201700000045,-7.415274,37.609784,RURAL,10,2017,10,2017,0.7,4,13,3,0.230769230769231,RDT,Unknown,NA,TZ201700000045,1000095291,5680,NA,2017-10-01,MIS
1071707,Tanzania,TZA,Africa,1071705,TZ201700000208,-5.26969,32.39285,RURAL,10,2017,10,2017,0.7,4,41,9,0.219512195121951,RDT,Unknown,NA,TZ201700000208,1000095291,5680,NA,2017-10-01,MIS
1070783,Tanzania,TZA,Africa,1070781,TZ201700000054,-6.792752,37.653575,URBAN,10,2017,10,2017,0.7,4,7,0,0,RDT,Unknown,NA,TZ201700000054,1000095291,5680,NA,2017-10-01,MIS
1072451,Tanzania,TZA,Africa,1072449,TZ201700000332,-4.905854,37.294408,RURAL,10,2017,10,2017,0.7,4,15,0,0,RDT,Unknown,NA,TZ201700000332,1000095291,5680,NA,2017-10-01,MIS
1070807,Tanzania,TZA,Africa,1070805,TZ201700000058,-6.929643,37.615949,RURAL,10,2017,10,2017,0.7,4,7,0,0,RDT,Unknown,NA,TZ201700000058,1000095291,5680,NA,2017-10-01,MIS
1072259,Tanzania,TZA,Africa,1072257,TZ201700000300,-2.754982,32.717343,RURAL,10,2017,10,2017,0.7,4,30,0,0,RDT,Unknown,NA,TZ201700000300,1000095291,5680,NA,2017-10-01,MIS
1072373,Tanzania,TZA,Africa,1072371,TZ201700000319,-1.268567,33.980174,RURAL,10,2017,10,2017,0.7,4,21,4,0.19047619047619,RDT,Unknown,NA,TZ201700000319,1000095291,5680,NA,2017-10-01,MIS
1071167,Tanzania,TZA,Africa,1071165,TZ201700000118,-10.27896,40.041661,RURAL,10,2017,10,2017,0.8,3,9,3,0.333333333333333,RDT,Unknown,NA,TZ201700000118,1000095291,5680,NA,2017-10-01,MIS
1071785,Tanzania,TZA,Africa,1071783,TZ201700000221,-7.858002,31.419333,RURAL,10,2017,10,2017,0.8,3,10,0,0,RDT,Unknown,NA,TZ201700000221,1000095291,5680,NA,2017-10-01,MIS
1070531,Tanzania,TZA,Africa,1070529,TZ201700000012,-3.357583,37.0013,RURAL,10,2017,10,2017,0.8,3,7,0,0,RDT,Unknown,NA,TZ201700000012,1000095291,5680,NA,2017-10-01,MIS
